c,n,g,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,n,b,v,c_replaced
1071.1314,Escuela Humberto Nogales,AP,94,20,3,15,4,19,60,2,463,61,217,1071.1314
1072.1315,Nucleo Escolar Siquimira,AP,59,3,2,1,0,4,25,2,375,5,96,1072.1315
1073.1316,Nucleo Escolar Sivingani,PDC,30,9,3,6,4,3,32,1,173,45,88,1073.1316
1074.1317,U. E. Abraham Flores Velasquez,PDC,27,2,0,3,0,4,27,1,301,13,64,1074.1317
1075.1318,Unidad Educativa Yana Khakha,AP,9,2,2,0,1,1,7,0,175,15,22,1075.1318
1076.25035,Escuela Adela Zamudio,PDC,348,624,66,630,53,87,1126,195,1472,137,3129,1076.25035
1076.25036,Escuela Andres Maria Torrico,PDC,269,353,28,406,33,46,947,118,1268,102,2200,1076.25036
1076.25037,U. E. Manuel A. Villarroel (Ex Bolivar),PDC,297,551,22,586,37,63,1128,152,1158,97,2836,1076.25037
1076.25038,U. E. Ruben Ferrufino (Camacho Rancho),PDC,91,94,17,88,14,10,215,27,365,48,556,1076.25038
1076.25039,Unidad Educativa Tajamar,PDC,100,104,12,63,10,10,165,49,225,46,513,1076.25039
1076.25040,Unidad Educativa Mayor Rocha (Yacanahuyo,PDC,99,97,19,97,18,17,258,38,327,46,643,1076.25040
1076.25041,Sede Sindical Thaco,PDC,98,37,3,29,11,10,130,19,344,43,337,1076.25041
1076.25042,Liceo Josefa M. Gandarillas (Ex Sucre),PDC,350,510,42,572,35,59,1124,196,1161,95,2888,1076.25042
1076.25043,Unidad Educativa Tambillo Chico,PDC,44,13,13,27,4,6,84,7,211,25,198,1076.25043
1076.26456,U. E. 18 de Mayo,PDC,69,41,10,113,21,13,270,26,325,20,563,1076.26456
1076.26458,U. E. Libertador Simón Bolívar,PDC,5,10,1,23,1,1,33,7,40,2,81,1076.26458
1078.1405,U. E. Rene Barrientos O.   La Villa,PDC,57,19,13,11,13,8,77,6,221,18,204,1078.1405
1078.1406,Unidad Educativa Molle Huma,PDC,73,22,15,11,5,10,76,3,445,71,215,1078.1406
1079.1406,Escuela Gualberto Villarroel (V. Rivero),PDC,94,60,18,84,15,27,916,50,579,83,1264,1079.1406
108.25762,U. E. Jancko Amaya  A,PDC,80,7,25,9,20,21,446,21,145,54,629,108.25762
1080.1407,U. E. 27 de Mayo (Ex Jose B. Pereira),PDC,144,121,23,208,13,31,529,80,655,69,1149,1080.1407
1080.26457,U. E. José Braulio Pereira,PDC,115,119,13,142,22,49,363,80,445,48,903,1080.26457
1083.1411,Colegio Simon Bolivar (Huaricaya),PDC,95,87,14,95,16,32,291,39,285,27,669,1083.1411
1084.1410,Unidad Educativa Sunchu Pampa,PDC,112,34,16,32,12,15,233,30,317,28,484,1084.1410
1085.1412,Unidad Educativa Tacachi,PDC,43,37,4,51,2,6,259,13,212,26,415,1085.1412
1086.1413,Escuela Cuchu Muela,PDC,54,44,9,19,6,17,170,9,255,29,328,1086.1413
1087.1414,Nucleo Escolar Yana Rumi,AP,15,3,1,0,0,2,13,1,181,7,35,1087.1414
1088.1501,U.E. Simón Bolivar,PDC,121,37,11,33,10,5,134,6,360,42,357,1088.1501
1089.1502,U.E. San Juan de La Comuna,AP,18,6,4,1,2,2,4,3,52,5,40,1089.1502
109.2415,Unidad Educativa Compi,PDC,64,17,22,18,4,15,329,16,192,31,485,109.2415
1090.1503,U.E. Challoma,AP,21,1,0,2,2,1,15,0,101,5,42,1090.1503
1091.1504,Escuela Vilacayma,AP,97,4,10,5,5,12,49,0,135,14,182,1091.1504
1092.1505,Escuela Coyuma,AP,18,3,0,2,3,0,8,0,44,19,34,1092.1505
1093.1506,U.E. Mejillones de Villa Victoria,AP,57,6,4,7,6,8,40,1,193,24,129,1093.1506
1095.1508,U.E. Carpani,AP,83,9,5,4,7,7,52,3,192,24,170,1095.1508
1096.1509,U.E. Yarvicoya,AP,62,5,3,0,1,2,37,0,151,14,110,1096.1509
1097.1510,U.E. Tangaleque,AP,77,1,10,5,3,0,22,3,101,10,121,1097.1510
1098.1511,U.E. Vilapampa,PDC,15,11,3,3,1,8,43,3,121,18,87,1098.1511
1099.1601,Colegio Juan Jose Carrasco,PDC,425,110,63,75,40,83,576,40,2359,231,1412,1099.1601
1099.26455,U. E. Isabel Torrico Arnez,PDC,138,48,27,37,12,25,231,19,899,79,537,1099.26455
110.25757,U. E. Kalaque,PDC,94,12,19,13,12,9,246,19,179,53,424,110.25757
1100.1603,Escuela Koari (Nucleo Esc. S. Bolivar),AP,79,6,20,6,4,9,30,3,611,30,157,1100.1603
1101.1604,Escuela Seccional Sacabambilla,AP,52,4,10,2,4,11,35,4,265,25,122,1101.1604
1104.1606,U.E. German Busch A,AP,411,70,37,63,17,25,337,47,3096,90,1007,1104.1606
1104.25312,U.E. Mcal.Sucre,PDC,127,11,7,24,12,3,161,12,871,28,357,1104.25312
1104.25895,U. E. Evo Morales Ayma,PDC,223,18,15,52,19,15,252,25,1294,52,619,1104.25895
1104.26472,U. E. German Busch B,PDC,112,34,6,27,5,8,162,18,867,29,372,1104.26472
1106.1607,U.E. Ibuelo,AP,266,50,19,69,22,36,191,48,1609,63,701,1106.1607
1107.1608,Unidad Educativa Palca T,PDC,8,5,9,3,1,1,21,2,55,10,50,1107.1608
1108.1609,Nucleo Escolar Iluri Grande,AP,88,5,6,4,4,18,57,1,381,35,183,1108.1609
111.2367,Escuela Watari,PDC,48,5,12,5,6,11,242,13,100,32,342,111.2367
1113.14,U.E. Mons. Santisteban,UNIDAD,47,234,4,309,5,50,119,325,113,71,1093,1113.14
1113.15,U.E. Bruno Racua,UNIDAD,34,222,9,223,7,45,112,285,154,30,937,1113.15
1115.15,U.E. Villa Bella,LIBRE,32,101,4,265,4,34,102,123,127,35,665,1115.15
1116.19,U.E. De Bolpebra,LIBRE,4,6,0,25,0,2,20,1,7,2,58,1116.19
1118.20,U.E.  Genoveva Rios,LIBRE,13,79,2,83,3,1,20,23,19,7,224,1118.20
1119.19,U.E. De Mukden,LIBRE,8,34,0,144,2,4,24,34,10,6,250,1119.19
112.2441,Escuela Ajllata Grande,PDC,166,9,24,25,27,32,689,21,263,100,993,112.2441
1125.23,U.E. Buena Vista,PDC,10,4,14,16,0,5,35,10,16,19,94,1125.23
1126.25,U.E.  Km. 35 de Karamanu,LIBRE,43,34,3,107,1,10,55,12,35,16,265,1126.25
1127.24,U.E.  Km. 60 de San Antonio,LIBRE,15,15,5,61,6,8,16,30,15,2,156,1127.24
1129.26,U.E. Mapajo,LIBRE,9,3,2,29,1,9,11,8,15,3,72,1129.26
113.25761,U. E. Pedro Domingo Murillo,PDC,57,7,5,15,9,13,217,17,71,24,340,113.25761
1130.25572,U.E. Puerto Rico,PDC,40,27,2,73,7,14,144,49,65,29,356,1130.25572
1130.27,U.E. La Salle Pedro Villa Lobos,PDC,163,106,16,390,16,56,618,179,322,106,1544,1130.27
1134.28,U.E.  German Busch,LIBRE,99,42,11,100,4,8,29,49,54,40,342,1134.28
1136.29,U.E. Batraja,AP,77,17,12,28,4,7,66,22,41,33,233,1136.29
114.2379,U. E. Warisata,PDC,196,20,22,31,18,58,613,28,429,129,986,114.2379
1140.34,U.E.  12 de Abril,MAS-IPSP,33,25,2,17,3,95,35,51,9,10,261,1140.34
1142.35,U.E.  6 de Junio,AP,32,14,2,5,1,0,3,19,16,8,76,1142.35
1143.36,U.E. Filadelfia,LIBRE,40,74,6,132,5,25,91,85,91,18,458,1143.36
1145.37,U.E. Villa Bella,APB-SUMATE,29,65,1,51,1,3,10,22,30,15,182,1145.37
1146.38,U.E. Nueva Empresa,APB-SUMATE,59,71,5,55,3,2,29,16,62,22,240,1146.38
1147.39,U.E. Buyuyo,LIBRE,27,15,0,81,3,4,33,8,23,6,171,1147.39
1149.41,U.E. Chive,LIBRE,22,36,9,90,4,11,51,52,63,35,275,1149.41
115.2436,Nucleo Tacamara,PDC,138,18,12,10,11,25,275,9,301,121,498,115.2436
1151.42,U.E. Curichon,PDC,8,19,2,23,1,9,27,7,61,15,96,1151.42
1155.47,U.E. Luz En El Camino,UNIDAD,41,60,6,156,4,120,67,263,182,51,717,1155.47
1157.26075,Sede Portachuelo Medio (Tacana),UNIDAD,29,9,0,3,10,12,20,30,46,10,113,1157.26075
